blueduck_field_data.csv,,,,,,,,,,,,,,,
Eric Barefoot,,,,,,,,,,,,,,,
"July, 2015",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This table is field data collected in the upper reaches of the Blue Duck Creek in the foothills of the Seaward Kaikoura Range, New Zealand.",,,,,,,,,,,,,,,
This data set was created by Eric Barefoot and Emily Beckham by hiking along streams and taking wetted stream width measurements every ~5 meters with a tape measure.,,,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GPS waypoints were taken at nodes in the stream network.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,,,
stream_segment_ID,,,,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done a few times in blue duck where ongaonga was too dense to measure),,,,,,,,,,,,,
,G,tall grass,,,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,,,
,M,Marshy ground with standing water,,,,,,,,,,,,,
,LT,width measured using a long tape measure - width in cm,,,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,,,
date,date,,,,,,,,,,,,,,
stream_order,strahler stream order (no 0 order streams),,,,,,,,,,,,,,
UTM_X,UTM zone 59S easting (locations are approximate),,,,,,,,,,,,,,
UTM_Y,UTM zone 59S northing (locations are approximate),,,,,,,,,,,,,,
elev_m,approximate elevation in meters,,,,,,,,,,,,,,
acc_area_m2,approximate upstream accumulation area in square meters,,,,,,,,,,,,,,
slope,approximate slope (unitless),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
stream_segment_ID,direction,flowing_width,percent_nonflow,code,notes,environment,measurer_name,date,stream_order,GPS.Waypoint,UTM_X,UTM_Y,elev_m,acc_area_m2,slope
S1,Downstream,3,,,,Pasture,Eric,12-Jul-15,1,,725915.41,5315098.46,231.51,9152,-0.1302198148
S1,Downstream,6,10,,,Pasture,Eric,12-Jul-15,1,,725920.64,5315095.77,229.61,9152,-0.1302198148
S1,Downstream,5,,,,Pasture,Eric,12-Jul-15,1,,725923.95,5315093.55,229.61,10688,-0.1302198148
S1,Downstream,8,30,,,Pasture,Eric,12-Jul-15,1,,725929.16,5315091.29,226.59,10688,-0.1302198148
S1,Downstream,3,,,,Pasture,Eric,12-Jul-15,1,,725934,5315091.99,224.89,10752,-0.1302198148
S1,Downstream,9,,,,Pasture,Eric,12-Jul-15,1,,725937.94,5315090.29,224.89,10752,-0.1302198148
S1,Downstream,17,50,,,Pasture,Eric,12-Jul-15,1,,725941.66,5315088.72,223.48,10752,-0.1302198148
S1,Downstream,2,0,,,Pasture,Eric,12-Jul-15,1,,725945.96,5315088.51,223.48,18432,-0.1302198148
S1,Downstream,4,,,,Pasture,Eric,12-Jul-15,1,,725951.38,5315086.23,222.27,18432,-0.1302198148
S1,Downstream,6,,,,Pasture,Eric,12-Jul-15,1,,725954.74,5315082.79,221.25,18688,-0.1302198148
S1,Downstream,5,,,,Pasture,Eric,12-Jul-15,1,,725958.24,5315085.36,221.15,18688,-0.1302198148
S1,Downstream,11,50,,,Pasture,Eric,12-Jul-15,1,,725960.71,5315088.35,221.15,18688,-0.1302198148
S1,Downstream,12,60,,,Pasture,Eric,12-Jul-15,1,,725965.91,5315085.37,219.95,19008,-0.1302198148
S1,Downstream,5,,,,Pasture,Eric,12-Jul-15,1,,725970.34,5315086.34,219.95,23616,-0.1302198148
S1,Downstream,380,80,LT,in cm,Pasture,Eric,12-Jul-15,1,,725974.74,5315085.3,218.62,23616,-0.1302198148
S1,Downstream,490,90,LT,,Pasture,Eric,12-Jul-15,1,,725979.63,5315084.46,218.62,24960,-0.1302198148
S1,Downstream,370,80,LT,,Pasture,Eric,12-Jul-15,1,,725983.96,5315087.09,217.07,25344,-0.1302198148
S1,Downstream,67,60,LT,,Pasture,Eric,12-Jul-15,1,,725988.46,5315087.22,215.63,25344,-0.1302198148
S1,Downstream,13,,,,Pasture,Eric,12-Jul-15,1,,725993.99,5315088.93,215.63,25344,-0.1302198148
S1,Downstream,5,,,,Pasture,Eric,12-Jul-15,1,,725996.7,5315092.64,214.36,25728,-0.1302198148
S1,Downstream,10,30,,,Pasture,Eric,12-Jul-15,1,,726001.21,5315092.78,214.36,25728,-0.1302198148
S1,Downstream,4,20,,,Pasture,Eric,12-Jul-15,1,,726006.7,5315093.32,212.99,27328,-0.1302198148
S1,Downstream,13,,,,Pasture,Eric,12-Jul-15,1,,726011.48,5315092.13,212.99,27328,-0.1302198148
S1,Downstream,14,,,,Pasture,Eric,12-Jul-15,1,,726014.79,5315090.35,213.78,27328,-0.1302198148
S1,Downstream,7,,,,Pasture,Eric,12-Jul-15,1,,726019.66,5315090.34,213.78,27776,-0.1302198148
S1,Downstream,3,40,,,Pasture,Eric,12-Jul-15,1,,726020.47,5315088.38,213.37,27776,-0.1302198148
S1,Downstream,7,,,knickpoint here,Pasture,Eric,12-Jul-15,1,,726027.61,5315087.02,213.37,27776,-0.1302198148
S1,Downstream,8,,,,Pasture,Eric,12-Jul-15,1,,726028.43,5315082.23,214.48,27776,-0.1302198148
S1,Downstream,7,30,,,Pasture,Eric,12-Jul-15,1,,726032.92,5315080.36,214.48,27776,-0.1302198148
S1,Downstream,11,50,,,Pasture,Eric,12-Jul-15,1,,726036.37,5315078.92,213.86,27776,-0.1302198148
S1,Downstream,4,,,,Pasture,Eric,12-Jul-15,1,,726041.89,5315076.62,213.86,27776,-0.1302198148
S1,Downstream,9,,,,Pasture,Eric,12-Jul-15,1,,726047.07,5315074.45,214.05,27776,-0.1302198148
S1,Downstream,23,60,,,Pasture,Eric,12-Jul-15,1,,726051.71,5315073.74,212.8,28224,-0.1302198148
S1,Downstream,4,50,,,Pasture,Eric,12-Jul-15,1,,726057.17,5315073.9,212.8,28224,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726062.39,5315072.55,211.41,28224,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726067.23,5315072.17,211.41,28992,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726070.53,5315075.72,209.19,34304,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726074.96,5315078.01,209.19,34304,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726077.51,5315079.86,207.66,34304,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726082.63,5315083.58,207.13,34304,-0.1302198148
S1,Downstream,0,,,,Pasture,Eric,12-Jul-15,1,,726086.44,5315085.37,205.63,34304,-0.1302198148
S1,Downstream,3,,,,Pasture,Eric,12-Jul-15,1,,726091.36,5315086.72,205.63,34304,-0.1302198148
S1,Downstream,7,,,,Pasture,Eric,12-Jul-15,1,,726093.27,5315090.97,203.85,34304,-0.1302198148
S1,Downstream,8,,,,Pasture,Eric,12-Jul-15,1,,726097.69,5315092.13,203.85,34304,-0.1302198148
S1,Downstream,13,,,,Pasture,Eric,12-Jul-15,1,,726102.67,5315093.51,202.58,34304,-0.1302198148
S1,Downstream,15,,,,Pasture,Eric,12-Jul-15,1,,726104.99,5315097.99,202.37,34368,-0.1302198148
S1,Downstream,42,50,,,Pasture,Eric,12-Jul-15,1,,726108.48,5315098.22,201.16,34368,-0.1302198148
S1,Downstream,15,20,,right before culvert,Pasture,Eric,12-Jul-15,1,,726111.72,5315101.9,201.16,34368,-0.1302198148
S1,Downstream,2,,,out of culvert pipe,Pasture,Eric,12-Jul-15,1,,726116.48,5315104.13,200.4,34432,-0.1302198148
S1,Downstream,16,50,,"lots of anthro influence, pipes",Pasture,Eric,12-Jul-15,1,,726119.69,5315107.8,200.27,101504,-0.1302198148
S1,Downstream,8,,,,Pasture,Eric,12-Jul-15,1,,726121.68,5315112.76,200.15,101504,-0.1302198148
S1,Downstream,20,50,,mostly marshy with islands of grass in mud.,Pasture,Eric,12-Jul-15,1,438,726120.44,5315118.74,200.15,101504,-0.1302198148
S3,Downstream,22,30,,,Pasture,Eric,12-Jul-15,2,438,726123.16,5315122.41,199.73,101504,-0.0311699201
S3,Downstream,16,50,,,Pasture,Eric,12-Jul-15,2,,726121.84,5315126.49,199.73,101504,-0.0311699201
S3,Downstream,17,10,,,Pasture,Eric,12-Jul-15,2,,726123.36,5315130.65,199.36,101504,-0.0311699201
S3,Downstream,7,,,,Pasture,Eric,12-Jul-15,2,,726120.76,5315133.8,199.36,101504,-0.0311699201
S3,Downstream,17,,,,Pasture,Eric,12-Jul-15,2,,726123.06,5315138.36,198.96,101504,-0.0311699201
S3,Downstream,30,50,,,Pasture,Eric,12-Jul-15,2,,726121.11,5315142.07,198.96,101504,-0.0311699201
S3,Downstream,18,,,,Pasture,Eric,12-Jul-15,2,,726122.6,5315145.96,198.58,101504,-0.0311699201
S3,Downstream,27,20,,,Pasture,Eric,12-Jul-15,2,,726119.81,5315150.19,198.58,101504,-0.0311699201
S3,Downstream,5,10,,,Pasture,Eric,12-Jul-15,2,,726119.88,5315154.94,198.34,101504,-0.0311699201
S3,Downstream,16,,,,Pasture,Eric,12-Jul-15,2,,726121.38,5315158.99,198.34,101504,-0.0311699201
S3,Downstream,12,,,,Pasture,Eric,12-Jul-15,2,,726117.76,5315162.26,197.98,101504,-0.0311699201
S3,Downstream,24,50,,,Pasture,Eric,12-Jul-15,2,,726114.67,5315164.73,197.87,101504,-0.0311699201
S3,Downstream,10,10,,,Pasture,Eric,12-Jul-15,2,,726115.35,5315169.6,197.87,111616,-0.0311699201
S3,Downstream,13,,,,Pasture,Eric,12-Jul-15,2,441,726111.5,5315173.93,197.87,111616,-0.0311699201
S4,Upstream,12,10,,,Pasture,Eric,12-Jul-15,2,441,726107.99,5315173.06,198.12,59968,0.0902528076
S4,Upstream,9,,,,Pasture,Eric,12-Jul-15,2,,726103.68,5315172.69,198.12,59328,0.0902528076
S4,Upstream,13,10,,,Pasture,Eric,12-Jul-15,2,,726099.97,5315172.92,198.77,59328,0.0902528076
S4,Upstream,10,,,knickpoint,Pasture,Eric,12-Jul-15,2,,726096.39,5315172.91,198.77,58816,0.0902528076
S4,Upstream,21,20,,,Pasture,Eric,12-Jul-15,2,,726092.21,5315169.93,199.42,58816,0.0902528076
S4,Upstream,16,30,,,Pasture,Eric,12-Jul-15,2,,726087.85,5315169.98,199.42,24192,0.0902528076
S4,Upstream,17,,,,Pasture,Eric,12-Jul-15,2,,726083.98,5315167.3,199.72,24192,0.0902528076
S4,Upstream,12,20,,,Pasture,Eric,12-Jul-15,2,,726081.11,5315170.62,200.17,24192,0.0902528076
S4,Upstream,0,,,pool,Pasture,Eric,12-Jul-15,2,,726076.45,5315170.96,200.96,20672,0.0902528076
S4,Upstream,9,,,,Pasture,Eric,12-Jul-15,2,,726072.1,5315170.42,200.96,19776,0.0902528076
S4,Upstream,12,,,,Pasture,Eric,12-Jul-15,2,,726068.25,5315171.92,201.71,19776,0.0902528076
S4,Upstream,10,,,before culvert,Pasture,Eric,12-Jul-15,2,,726066.63,5315175.27,201.71,19776,0.0902528076
S4,Upstream,0,,,above culvert,Pasture,Eric,12-Jul-15,2,,726064.13,5315178.31,202.5,16192,0.0902528076
S4,Upstream,11,20,,,Pasture,Eric,12-Jul-15,2,442,726059.95,5315180.92,203.26,16192,0.0902528076
S5,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,442,726057.46,5315185.45,203.26,1088,0.1730623727
S5,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726057.42,5315189.85,204.26,1088,0.1730623727
S5,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726056.18,5315194.55,205.42,1088,0.1730623727
S5,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726055.61,5315199.26,205.42,1024,0.1730623727
S5,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726053.88,5315203.5,207.44,1024,0.1730623727
S5,Upstream,3,,,,Pasture,Eric,12-Jul-15,1,,726052.8,5315208.36,207.44,1024,0.1730623727
S5,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726051.28,5315212.77,208.86,960,0.1730623727
S5,Upstream,7,50,,,Pasture,Eric,12-Jul-15,1,,726048.41,5315216.72,208.86,960,0.1730623727
S6,Upstream,14,50,,,Pasture,Eric,12-Jul-15,1,442,726055.19,5315181.83,203.26,16192,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726051.05,5315178.98,204.08,16192,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726046.06,5315179.62,205.09,15744,0.153450606
S6,Upstream,12,10,,,Pasture,Eric,12-Jul-15,1,,726041.62,5315179.2,205.09,10944,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,726036.9,5315178.36,206.29,10944,0.153450606
S6,Upstream,12,40,,,Pasture,Eric,12-Jul-15,1,,726031.41,5315179.23,206.29,10560,0.153450606
S6,Upstream,5,60,,,Pasture,Eric,12-Jul-15,1,,726027.68,5315177.61,207.09,10560,0.153450606
S6,Upstream,8,70,,,Pasture,Eric,12-Jul-15,1,,726023.2,5315175.19,207.09,10176,0.153450606
S6,Upstream,13,70,,,Pasture,Eric,12-Jul-15,1,,726018.48,5315175.59,208.48,10176,0.153450606
S6,Upstream,11,40,,,Pasture,Eric,12-Jul-15,1,,726012.76,5315175.07,209.87,9792,0.153450606
S6,Upstream,18,60,,,Pasture,Eric,12-Jul-15,1,,726008.02,5315175.45,209.87,9408,0.153450606
S6,Upstream,5,10,,,Pasture,Eric,12-Jul-15,1,,726003.77,5315176.34,211.23,9408,0.153450606
S6,Upstream,4,,,,Pasture,Eric,12-Jul-15,1,,725999.49,5315179.75,211.73,8960,0.153450606
S6,Upstream,11,10,,,Pasture,Eric,12-Jul-15,1,,725995.1,5315181.15,213.07,8960,0.153450606
S6,Upstream,6,,,,Pasture,Eric,12-Jul-15,1,,725993.46,5315185.69,213.07,8320,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,725989.38,5315186.22,214.35,8320,0.153450606
S6,Upstream,5,,,,Pasture,Eric,12-Jul-15,1,,725985.33,5315184.32,214.35,7808,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,725980.33,5315185.2,215.56,7808,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,725977.2,5315189.52,216.61,7360,0.153450606
S6,Upstream,0,,,,Pasture,Eric,12-Jul-15,1,,725973.43,5315191.45,217.8,7360,0.153450606
S6,Upstream,2,,,small pool,Pasture,Eric,12-Jul-15,1,,725967.93,5315191.91,217.8,5696,0.153450606
S7,Downstream,60,30,,island in channel,Pasture,Emily,12-Jul-15,3,441,726114.99,5315176.36,197.87,111616,-0.1231741661
S7,Downstream,9,10,,one section frozen over,Pasture,Emily,12-Jul-15,3,,726115.78,5315180.64,198.2,111616,-0.1231741661
S7,Downstream,22,20,,,Pasture,Emily,12-Jul-15,3,,726119.54,5315181.78,197.87,111680,-0.1231741661
S7,Downstream,9,10,,entering steeper valley - stream cuts through with same slope,Pasture,Emily,12-Jul-15,3,,726121.39,5315185.98,198.4,111680,-0.1231741661
S7,Downstream,14,20,,,Pasture,Emily,12-Jul-15,3,,726122.15,5315191.37,198.4,111680,-0.1231741661
S7,Downstream,16,30,,,Pasture,Emily,12-Jul-15,3,,726121.99,5315196.21,199.26,111680,-0.1231741661
S7,Downstream,32,40,,,Forest,Emily,12-Jul-15,3,,726121.99,5315196.61,199.26,111680,-0.1231741661
S7,Downstream,12,,,,Forest,Emily,12-Jul-15,3,,726123.01,5315204.99,201.05,113024,-0.1231741661
S7,Downstream,34,10,,"rocks fill this channel, which is very different from in the pasture land",Forest,Emily,12-Jul-15,3,,726124.09,5315209.94,203.11,113024,-0.1231741661
S7,Downstream,26,,,,Forest,Emily,12-Jul-15,3,,726125.35,5315214.53,203.11,114176,-0.1231741661
S7,Downstream,37,30,,,Forest,Emily,12-Jul-15,3,,726129.82,5315217.43,204.55,114176,-0.1231741661
S7,Downstream,78,,,,Forest,Emily,12-Jul-15,3,,726134.03,5315219.23,204.55,115776,-0.1231741661
S7,Downstream,78,50,,,Forest,Emily,12-Jul-15,3,,726139.46,5315220.67,202.89,115776,-0.1231741661
S7,Downstream,36,40,,,Forest,Emily,12-Jul-15,3,,726142.74,5315221.13,201.1,115776,-0.1231741661
S7,Downstream,15,20,,log jam,Forest,Emily,12-Jul-15,3,,726148.33,5315220.89,201.1,117568,-0.1231741661
S7,Downstream,26,10,,,Forest,Emily,12-Jul-15,3,,726153.7,5315221.2,198.77,117568,-0.1231741661
S7,Downstream,40,30,,,Forest,Emily,12-Jul-15,3,,726158.59,5315221.93,197.18,117568,-0.1231741661
S7,Downstream,69,40,,,Forest,Emily,12-Jul-15,3,,726162.43,5315221.63,197.18,117568,-0.1231741661
S7,Downstream,33,10,,,Forest,Emily,12-Jul-15,3,,726162.84,5315221.84,197.18,117568,-0.1231741661
S7,Downstream,52,50,,,Forest,Emily,12-Jul-15,3,,726170.57,5315220.66,195.85,119488,-0.1231741661
S7,Downstream,17,10,,,Forest,Emily,12-Jul-15,3,,726175.56,5315221.49,193.96,120576,-0.1231741661
S7,Downstream,0,,,stream goes underground,Forest,Emily,12-Jul-15,3,,726177.61,5315222.1,193.96,120576,-0.1231741661
S7,Downstream,9,50,,,Forest,Emily,12-Jul-15,3,,726182.21,5315223.98,196.82,120576,-0.1231741661
S7,Downstream,24,60,,,Forest,Emily,12-Jul-15,3,,726185.39,5315225.54,195.27,122368,-0.1231741661
S7,Downstream,0,,,landslide material buries stream but too large to excavate,Forest,Emily,12-Jul-15,3,,726193.18,5315229.35,193.61,123200,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726196.48,5315232.95,196.67,123200,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726201.22,5315235.29,192.96,124288,-0.1231741661
S7,Downstream,10,10,,leaf litter,Forest,Emily,12-Jul-15,3,,726204.72,5315237.01,192.96,125120,-0.1231741661
S7,Downstream,35,30,,,Forest,Emily,12-Jul-15,3,,726211.99,5315238.68,191.8,125120,-0.1231741661
S7,Downstream,0,,,rock pile forming ~1m tall knickpoint,Forest,Emily,12-Jul-15,3,,726217.07,5315238.93,189.31,125120,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726221.13,5315239.85,189.31,127104,-0.1231741661
S7,Downstream,13,20,,,Forest,Emily,12-Jul-15,3,,726224.34,5315244.53,189.56,127104,-0.1231741661
S7,Downstream,24,,,,Forest,Emily,12-Jul-15,3,,726225.7,5315247.87,187.83,128000,-0.1231741661
S7,Downstream,84,70,MC,~2m knickpoint with big boulder separating two channels,Forest,Emily,12-Jul-15,3,,726227.12,5315250.47,187.83,128000,-0.1231741661
S7,Downstream,20,20,,,Forest,Emily,12-Jul-15,3,,726230.36,5315256.94,188.38,128000,-0.1231741661
S7,Downstream,50,40,,,Forest,Emily,12-Jul-15,3,,726230.05,5315259.75,188.38,128768,-0.1231741661
S7,Downstream,21,30,,S8 subsumed into S7 because there is no tributary splitting S7 and S8,Forest,Emily,12-Jul-15,3,,726235.55,5315263.2,186.94,128768,-0.1231741661
S7,Downstream,0,,,log jam,Forest,Emily,12-Jul-15,3,,726238.86,5315264.47,186.94,128768,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726243.31,5315267.75,183.65,129152,-0.1231741661
S7,Downstream,19,,,small pool,Forest,Emily,12-Jul-15,3,,726245.01,5315271.45,183.57,129152,-0.1231741661
S7,Downstream,58,50,,,Forest,Emily,12-Jul-15,3,,726246.04,5315277.6,182.86,130304,-0.1231741661
S7,Downstream,35,50,,,Forest,Emily,12-Jul-15,3,,726249.84,5315280.46,179.95,130304,-0.1231741661
S7,Downstream,53,,,,Forest,Emily,12-Jul-15,3,,726251.89,5315283.84,179.95,130304,-0.1231741661
S7,Downstream,52,50,,,Forest,Emily,12-Jul-15,3,,726255.47,5315288.82,178.86,131712,-0.1231741661
S7,Downstream,10,,,"dry channel further away, looks to be a channel only occupied in high flow",Forest,Emily,12-Jul-15,3,,726257.75,5315291.49,176.61,131712,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726260.7,5315294.09,175.37,131712,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726265.71,5315297.87,174.86,132032,-0.1231741661
S7,Downstream,0,,,pool with seepage water escape,Forest,Emily,12-Jul-15,3,,726269.72,5315301.84,173.1,132032,-0.1231741661
S7,Downstream,10,,,,Forest,Emily,12-Jul-15,3,,726271.06,5315306.59,173.1,132096,-0.1231741661
S7,Downstream,15,,,,Forest,Emily,12-Jul-15,3,,726272.61,5315311.69,172.78,132096,-0.1231741661
S7,Downstream,57,60,MC,last measurement in island between two channels,Forest,Emily,12-Jul-15,3,445,726272.12,5315316.09,170.87,134016,-0.1231741661
S7,Downstream,44,,,,Forest,Emily,13-Jul-15,3,445,726274.36,5315321.14,170.87,135104,-0.1231741661
S7,Downstream,62,90,,,Forest,Emily,13-Jul-15,3,,726276.16,5315326.01,168.97,135104,-0.1231741661
S7,Downstream,22,,,,Forest,Emily,13-Jul-15,3,,726278.37,5315330.69,168.97,142848,-0.1231741661
S7,Downstream,23,,,riffle-pool sequence,Forest,Emily,13-Jul-15,3,,726277.28,5315335.63,167.12,142848,-0.1231741661
S7,Downstream,12,10,,,Forest,Emily,13-Jul-15,3,,726278.46,5315339.22,167.12,142848,-0.1231741661
S7,Downstream,32,,,,Forest,Emily,13-Jul-15,3,,726279.73,5315344.48,165.36,144064,-0.1231741661
S7,Downstream,36,20,,steep-sided gully cut into landslide deposits,Forest,Emily,13-Jul-15,3,,726279.66,5315348.65,163.72,144064,-0.1231741661
S7,Downstream,29,10,,,Forest,Emily,13-Jul-15,3,,726278.55,5315353.79,163.72,146112,-0.1231741661
S7,Downstream,20,20,,,Forest,Emily,13-Jul-15,3,,726279.18,5315358.97,162.26,146112,-0.1231741661
S7,Downstream,13,10,,,Forest,Emily,13-Jul-15,3,,726277.69,5315363.89,161.03,147264,-0.1231741661
S7,Downstream,20,30,,,Forest,Emily,13-Jul-15,3,,726278.39,5315368.03,161.03,147392,-0.1231741661
S7,Downstream,32,10,,,Forest,Emily,13-Jul-15,3,,726279.81,5315373.05,160.22,147392,-0.1231741661
S7,Downstream,34,40,,,Forest,Emily,13-Jul-15,3,,726279.01,5315376.18,160.22,268160,-0.1231741661
S7,Downstream,18,,,,Forest,Emily,13-Jul-15,3,,726279.06,5315381.35,159.15,268160,-0.1231741661
S7,Downstream,17,50,,,Forest,Emily,13-Jul-15,3,446,726280.26,5315386.67,159.15,268288,-0.1231741661
S9,Upstream,37,20,,,Forest,Eric,13-Jul-15,2,446,726283.3,5315385.7,160.68,268288,0.2725613152
S9,Upstream,11,,,,Forest,Eric,13-Jul-15,2,,726287.21,5315384.29,160.68,268288,0.2725613152
S9,Upstream,7,,,,Forest,Eric,13-Jul-15,2,,726290.84,5315382.81,163.53,118080,0.2725613152
S9,Upstream,13,30,,,Forest,Eric,13-Jul-15,2,,726296.47,5315380.06,163.53,118080,0.2725613152
S9,Upstream,33,10,,,Forest,Eric,13-Jul-15,2,,726300.41,5315379.88,166.23,70208,0.2725613152
S9,Upstream,39,30,,,Forest,Eric,13-Jul-15,2,,726302.26,5315375.77,164.85,70208,0.2725613152
S9,Upstream,29,70,,,Forest,Eric,13-Jul-15,2,447,726306.8,5315375.28,167.27,70208,0.2725613152
S10,Upstream,0,,,,Forest,Eric,13-Jul-15,1,447,726308.08,5315373.72,167.27,46144,0.157402036
