v40_field_data.csv,,,,,,,,,,,,,
Eric Barefoot,,,,,,,,,,,,,
"July, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
"This table is field data collected in the upper reaches of the V40 stream in the former Karamea Mine near Denniston, New Zealand.",,,,,,,,,,,,,
This data set was created by Eric Barefoot by pacing along streams and taking wetted stream width measurements every ~5 meters with a tape measure.,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,
Measurement interval was demarcated with length of rope ~5 meters long. ,,,,,,,,,,,,,
GPS waypoints were taken at nodes in the stream network.,,,,,,,,,,,,,
,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,
stream_segment_ID,Internal and external stream segments usually seperated by nodes. Order is arbitrary,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done where dangerous vegetation was too dense to measure),,,,,,,,,,,
,G,tall grass,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,
,M,Marshy ground with exensive standing water,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,
date,date,,,,,,,,,,,,
stream_order,strahler stream order (no 0 order streams),,,,,,,,,,,,
UTM_X,UTM zone 59S easting (locations are approximate),,,,,,,,,,,,
UTM_Y,UTM zone 59S northing (locations are approximate),,,,,,,,,,,,
elev_m,approximate elevations in meters,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
stream_segment_ID,direction,flowing_width,percent_nonflow,code,notes,environment,measurer_name,date,stream_order,GPS.Waypoint,UTM_X,UTM_Y,elev_m
S1,Downstream,5,10,M,,Grassland,Eric,28-Jun-15,1,373,564427.294628,5375203.87553,738.275268555
S1,Downstream,14,5,M,,Grassland,Eric,28-Jun-15,1,,564432.149311,5375205.11033,737.645141602
S1,Downstream,3,,,cut into moss,Grassland,Eric,28-Jun-15,1,,564432.955977,5375209.14783,737.300964355
S1,Downstream,5,,,,Grassland,Eric,28-Jun-15,1,,564434.084131,5375213.10937,736.75201416
S1,Downstream,32,,,most flow under a moss bank,Grassland,Eric,28-Jun-15,1,,564438.515618,5375213.9155,736.342224121
S1,Downstream,11,5,,,Bushy,Eric,28-Jun-15,1,,564443.421413,5375216.15359,735.708374023
S1,Downstream,10,5,,,Bushy,Eric,28-Jun-15,1,,564444.401627,5375220.1158,735.056945801
S1,Downstream,8,2,,,Bushy,Eric,28-Jun-15,1,,564444.60512,5375223.50096,734.639770508
S1,Downstream,22,,M,marshy,Bushy,Eric,28-Jun-15,1,,564449.766264,5375223.55369,734.135253906
S1,Downstream,8,60,M,,Bushy,Eric,28-Jun-15,1,374,564452.054857,5375227.36653,733.173034668
S3a,Downstream,5,,,S2 deleted. ,Bushy,Eric,28-Jun-15,1,374,564448.300351,5375232.19985,733.29675293
S3a,Downstream,11,,,,Bushy,Eric,28-Jun-15,1,,564452.708187,5375236.33657,732.334350586
S3a,Downstream,9,50,,,Bushy,Eric,28-Jun-15,1,386,564455.907597,5375241.37323,731.462524414
S3b,Downstream,13,,,,Bushy,Eric,28-Jun-15,2,386,564456.36912,5375246.17076,730.796875
S3b,Downstream,26,,,,Bushy,Eric,28-Jun-15,2,,564459.740803,5375249.30406,730.142028809
S3b,Downstream,6,,,,Bushy,Eric,28-Jun-15,2,,564459.985696,5375253.93333,729.806640625
S3b,Downstream,24,,,,Bushy,Eric,28-Jun-15,2,,564463.97822,5375256.68063,728.873535156
S3b,Downstream,0,,,,Bushy,Eric,28-Jun-15,2,,564463.917922,5375261.26657,728.561157227
S3b,Downstream,0,,,,Bushy,Eric,28-Jun-15,2,,564464.888418,5375265.76227,727.954101563
S3b,Downstream,1.5,,,,Bushy,Eric,28-Jun-15,2,376,564464.793846,5375270.27124,727.77130127
S4,Upstream,0,,,,Bushy,Eric,28-Jun-15,2,376,564462.523742,5375274.65848,727.700317383
S4,Upstream,27,40,,,Bushy,Eric,28-Jun-15,2,,564457.503404,5375272.91377,728.427734375
S4,Upstream,18,60,,,Bushy,Eric,28-Jun-15,2,,564452.52942,5375271.94931,729.435180664
S4,Upstream,12,40,,,Bushy,Eric,28-Jun-15,2,,564447.673293,5375270.57818,730.177856445
S4,Upstream,2,10,,,Bushy,Eric,28-Jun-15,2,377,564443.797859,5375268.03101,730.919372559
S5,Upstream,0,,,,Bushy,Eric,28-Jun-15,1,377,564439.508473,5375267.65797,731.455993652
S5,Upstream,0,,,,Scrub,Eric,28-Jun-15,1,,564434.526582,5375267.7705,732.247497559
S5,Upstream,0,,,,Scrub,Eric,28-Jun-15,1,,564430.817458,5375265.58058,732.72467041
S5,Upstream,2,30,,,Scrub,Eric,28-Jun-15,1,,564427.783618,5375261.40016,733.661621094
S7,Downstream,21,,,,Bushy,Eric,28-Jun-15,3,376,564466.67602,5375274.27039,727.156616211
S7,Downstream,17,40,MC,one channel disappears underground,Bushy,Eric,28-Jun-15,3,,564470.124391,5375276.38436,726.442016602
S7,Downstream,8,,,,Bushy,Eric,28-Jun-15,3,,564470.263681,5375280.66749,726.091308594
S7,Downstream,6,,,,Bushy,Eric,28-Jun-15,3,,564468.898091,5375284.88824,725.949035645
S7,Downstream,23,30,,,Bushy,Eric,28-Jun-15,3,,564470.883523,5375289.69101,725.29486084
S7,Downstream,9,,MC,,Bushy,Eric,28-Jun-15,3,,564474.445885,5375292.12096,724.437744141
S7,Downstream,4,,MC,,Bushy,Eric,28-Jun-15,3,,564478.937497,5375293.22843,724.018432617
S7,Downstream,0,,,under limestone formation,Bushy,Eric,28-Jun-15,3,,564477.111894,5375297.34508,723.81854248
S7,Downstream,0,,,,Bushy,Eric,28-Jun-15,3,,564476.994817,5375301.30274,723.389587402
S7,Downstream,3,30,,bedrock,Bushy,Eric,28-Jun-15,3,,564476.663929,5375306.53868,722.727416992
S7,Downstream,14,,,main stream reemerges,Bushy,Eric,28-Jun-15,3,,564475.664388,5375311.55968,722.392822266
S7,Downstream,8,,,,Bushy,Eric,28-Jun-15,3,,564476.936774,5375316.18224,721.598022461
S7,Downstream,21,10,,,Bushy,Eric,28-Jun-15,3,,564476.83105,5375320.7536,721.145141602
S7,Downstream,13,,,,Bushy,Eric,28-Jun-15,3,,564480.423492,5375324.61795,720.597900391
S7,Downstream,24,50,MC,in and out of limestone joints,Bushy,Eric,28-Jun-15,3,,564483.487256,5375327.75103,720.147766113
S7,Downstream,7,,,,Bushy,Eric,28-Jun-15,3,,564481.803468,5375331.94323,719.766479492
S7,Downstream,12,,,,Bushy,Eric,28-Jun-15,3,,564485.682944,5375334.7858,719.54107666
S7,Downstream,17,,,,Bushy,Eric,28-Jun-15,3,,564489.659984,5375337.49681,719.316955566
S7,Downstream,18,,,,Bushy,Eric,28-Jun-15,3,,564488.667436,5375341.91961,718.776733398
S7,Downstream,15,50,,,Bushy,Eric,28-Jun-15,3,,564490.953079,5375345.38992,718.581787109
S7,Downstream,14,40,,,Bushy,Eric,28-Jun-15,3,378,564492.853259,5375349.74121,717.9921875
S8,Downstream,8,10,,,Bushy,Eric,28-Jun-15,3,378,564493.423398,5375354.06297,717.567749023
S8,Downstream,0,,,,Bushy,Eric,28-Jun-15,3,,564496.927002,5375355.67889,717.304870605
S8,Downstream,16,,,,Bushy,Eric,28-Jun-15,3,,564497.595805,5375359.1619,717.066650391
S8,Downstream,34,10,,bedrock,Bushy,Eric,28-Jun-15,3,,564499.536491,5375363.25733,716.501281738
S8,Downstream,10,,,,Bushy,Eric,28-Jun-15,3,,564503.000471,5375366.28464,715.873413086
S8,Downstream,26,30,,,Bushy,Eric,28-Jun-15,3,,564502.918211,5375370.33181,715.265136719
S8,Downstream,11,,,,Bushy,Eric,28-Jun-15,3,,564506.693664,5375371.92351,714.805358887
S8,Downstream,16,,,,Bushy,Eric,28-Jun-15,3,,564508.452623,5375375.72068,714.074890137
S8,Downstream,16,,,,Bushy,Eric,28-Jun-15,3,,564510.870508,5375378.92108,713.653198242
S8,Downstream,9,,,,Bushy,Eric,28-Jun-15,3,379,564510.127768,5375384.24879,712.620849609
S9,Downstream,12,,,,Bushy,Eric,28-Jun-15,3,379,564509.064407,5375387.87045,711.983154297
S9,Downstream,13,,,very dense bush,Bushy,Eric,28-Jun-15,3,,564513.305228,5375387.772,711.832702637
S9,Downstream,17,,,,Bushy,Eric,28-Jun-15,3,,564514.633698,5375390.4355,711.400878906
S9,Downstream,16,,,,Bushy,Eric,28-Jun-15,3,,564513.489908,5375394.43829,710.75793457
S9,Downstream,13,20,,,Bushy,Eric,28-Jun-15,3,,564516.79693,5375393.50973,710.607788086
S9,Downstream,13,,,,Bushy,Eric,28-Jun-15,3,,564518.244405,5375395.34129,710.168823242
S9,Downstream,31,,,,Bushy,Eric,28-Jun-15,3,380,564519.089883,5375399.13126,709.455383301
S10a,Downstream,8,,,,Bushy,Eric,28-Jun-15,3,380,564525.564821,5375399.40548,709.217773438
S10a,Downstream,9,,,,Bushy,Eric,28-Jun-15,3,,564529.158244,5375406.0048,708.006958008
S10a,Downstream,22,,,,Bushy,Eric,28-Jun-15,3,,564535.836285,5375408.82342,707.102172852
S10a,Downstream,8,,,"S13 and S14 enter in a 5 meter span, so the nodes are essentially the same place, defining two segments",Bushy,Eric,28-Jun-15,3,391392,564541.587001,5375412.49605,706.249816895
S10b,Downstream,14,,,,Bushy,Eric,28-Jun-15,3,391392,564545.726188,5375415.40886,705.824523926
S10b,Downstream,28,,,,Bushy,Eric,28-Jun-15,3,,564546.740666,5375420.66208,704.86895752
S10b,Downstream,11,,,,Bushy,Eric,28-Jun-15,3,,564547.614947,5375425.44899,704.29888916
S10b,Downstream,40,,,,Bushy,Eric,28-Jun-15,3,,564548.713512,5375431.11249,703.504821777
S10b,Downstream,15,,,,Bushy,Eric,28-Jun-15,3,381,564549.310241,5375434.97788,703.04498291
S11,Upstream,25,,,,Scrub,Eric,28-Jun-15,3,381,564553.673376,5375433.80393,703.264160156
S11,Upstream,98,70,,,Scrub,Eric,28-Jun-15,3,,564557.394173,5375429.05325,703.72454834
S11,Upstream,38,,,,Scrub,Eric,28-Jun-15,3,,564559.708876,5375425.69331,704.208435059
S11,Upstream,79,60,,,Scrub,Eric,28-Jun-15,3,,564560.57642,5375420.64006,704.71295166
S11,Upstream,37,,,,Scrub,Eric,28-Jun-15,3,,564563.585446,5375416.88512,705.228027344
S11,Upstream,22,,,,Scrub,Eric,28-Jun-15,3,,564567.403263,5375412.53372,705.723999023
S11,Upstream,47,,,,Scrub,Eric,28-Jun-15,3,,564568.772921,5375407.34958,706.50994873
S11,Upstream,5,,,,Scrub,Eric,28-Jun-15,3,,564571.635885,5375404.29336,706.739807129
S11,Upstream,0,,,underground,Scrub,Eric,28-Jun-15,3,,564573.695569,5375399.48105,707.498901367
S11,Upstream,11,,,,Scrub,Eric,28-Jun-15,3,394,564574.094884,5375394.5947,707.962463379
S13,Upstream,8,10,,,Bushy,Eric,28-Jun-15,1,386,564534.665327,5375409.4016,707.102172852
S13,Upstream,0,,,,Bushy,Eric,28-Jun-15,1,,564531.738344,5375410.84694,706.898376465
S13,Upstream,14,40,,,Bushy,Eric,28-Jun-15,1,,564529.372911,5375411.18474,706.969360352
S13,Upstream,11,10,,,Bushy,Eric,28-Jun-15,1,391,564527.076036,5375410.36039,707.38659668
S13,Upstream,19,30,,,Bushy,Eric,28-Jun-15,1,,564524.493029,5375410.01196,707.462768555
S13,Upstream,6,40,,,Bushy,Eric,28-Jun-15,1,,564521.214602,5375409.73499,707.613708496
S16,Upstream,36,50,MC,,Bushy,Eric,28-Jun-15,3,394,564574.295531,5375390.14018,708.483154297
S16,Upstream,63,,MC,,Bushy,Eric,28-Jun-15,3,,564576.433483,5375386.4475,708.900024414
S16,Upstream,74,,,,Bushy,Eric,28-Jun-15,3,,564573.932873,5375384.11349,709.240905762
S16,Upstream,71,,,,Bushy,Eric,28-Jun-15,3,,564575.011861,5375379.79627,709.727050781
S16,Upstream,37,,,,Bushy,Eric,28-Jun-15,3,,564573.134929,5375376.09256,710.303527832
S16,Upstream,26,,,,Bushy,Eric,28-Jun-15,3,,564573.560817,5375372.2065,710.636779785
S16,Upstream,12,,,,Bushy,Eric,28-Jun-15,3,,564574.474404,5375368.58996,711.059753418
S16,Upstream,17,10,,,Bushy,Eric,28-Jun-15,3,,564570.568394,5375365.90789,711.509399414
S16,Upstream,15,,,,Bushy,Eric,28-Jun-15,3,,564571.260925,5375361.91005,711.781616211
S16,Upstream,21,,,,Bushy,Eric,28-Jun-15,3,,564571.001376,5375357.75526,712.157531738
S16,Upstream,8,,,,Bushy,Eric,28-Jun-15,3,,564571.729724,5375353.23212,712.696105957
S16,Upstream,9,,,,Bushy,Eric,28-Jun-15,3,,564570.584116,5375350.27529,712.869445801
S16,Upstream,5,,,,Bushy,Eric,28-Jun-15,3,,564570.371047,5375347.1527,713.333190918
S16,Upstream,41,,,,Bushy,Eric,28-Jun-15,3,,564568.663914,5375343.51031,713.66809082
S16,Upstream,43,,,,Bushy,Eric,28-Jun-15,3,395,564567.798017,5375339.78104,713.950378418
S18,Upstream,14,,,,Bushy,Eric,29-Jun-15,3,395,564565.737191,5375335.74134,714.553894043
S18,Upstream,145,70,MC,,Bushy,Eric,29-Jun-15,3,,564565.619613,5375331.12591,714.883239746
S18,Upstream,163,80,MC,,Bushy,Eric,29-Jun-15,3,,564564.736811,5375326.50951,715.218566895
S18,Upstream,42,10,,,Bushy,Eric,29-Jun-15,3,398,564565.53393,5375320.72885,715.735107422
S19,Upstream,5,30,,,Bushy,Eric,29-Jun-15,1,395,564595.315968,5375344.08184,711.815551758
S19,Upstream,6,60,,,Bushy,Eric,29-Jun-15,1,,564591.253207,5375344.28022,712.120117188
S19,Upstream,11,40,,,Scrub,Eric,29-Jun-15,1,,564587.269224,5375344.34742,712.398681641
S19,Upstream,4,60,,,Scrub,Eric,29-Jun-15,1,,564583.444537,5375343.82059,712.660949707
S19,Upstream,0,,,,Scrub,Eric,29-Jun-15,1,,564579.78108,5375342.70203,713.084533691
S19,Upstream,17,60,,,Scrub,Eric,29-Jun-15,1,,564576.187131,5375343.97765,713.147949219
S19,Upstream,0,,,,Grassland,Eric,29-Jun-15,1,,564574.701413,5375340.14927,713.495178223
S19,Upstream,0,,,,Grassland,Eric,29-Jun-15,1,396,564570.937931,5375340.82138,713.721557617
S20,Upstream,10,30,,,Bushy,Eric,29-Jun-15,1,398,564568.759357,5375318.57506,715.750976563
S20,Upstream,8,40,,,Bushy,Eric,29-Jun-15,1,,564572.061043,5375315.72629,715.776611328
S20,Upstream,6,40,,,Bushy,Eric,29-Jun-15,1,,564573.639112,5375311.51381,716.355102539
